case,temp,tray spacing,dist flow,cond liq flow
Case 591,10.5,0.41,<empty>,23906.03391
Case 592,10.5,0.42,<empty>,23906.03391
Case 593,10.5,0.43,<empty>,23906.03391
Case 594,10.5,0.44,<empty>,23906.03391
Case 595,10.5,0.45,<empty>,23906.03391
Case 596,10.5,0.46,<empty>,23906.03391
Case 597,10.5,0.47,<empty>,23906.03391
Case 598,10.5,0.48,<empty>,23906.03391
Case 599,10.5,0.49,<empty>,23906.03391
Case 600,10.5,0.5,<empty>,23906.03391
Case 601,10.5,0.51,<empty>,23906.03391
Case 602,10.5,0.52,<empty>,23906.03391
Case 603,10.5,0.53,<empty>,23906.03391
Case 604,10.5,0.54,<empty>,23906.03391
Case 605,10.5,0.55,<empty>,23906.03391
Case 606,10.5,0.56,<empty>,23906.03391
Case 607,10.5,0.57,<empty>,23906.03391
Case 608,10.5,0.58,<empty>,23906.03391
Case 609,10.5,0.59,<empty>,23906.03391
Case 610,10.5,0.6,<empty>,23906.03391
Case 611,10.5,0.61,<empty>,23906.03391
Case 612,10.5,0.62,<empty>,23906.03391
Case 613,10.5,0.63,<empty>,23906.03391
Case 614,10.5,0.64,<empty>,23906.03391
Case 615,10.5,0.65,<empty>,23906.03391
Case 616,10.5,0.66,<empty>,23906.03391
Case 617,10.5,0.67,<empty>,23906.03391
Case 618,10.5,0.68,<empty>,23906.03391
Case 619,10.5,0.69,<empty>,23906.03391
Case 620,10.5,0.7,<empty>,23906.03391
Case 621,10,0.4,<empty>,27685.87572
Case 622,10,0.41,<empty>,27685.87572
Case 623,10,0.42,<empty>,27685.87572
Case 624,10,0.43,<empty>,27685.87572
Case 625,10,0.44,<empty>,27685.87572
Case 626,10,0.45,<empty>,27685.87572
Case 627,10,0.46,<empty>,27685.87572
Case 628,10,0.47,<empty>,27685.87572
Case 629,10,0.48,<empty>,27685.87572
Case 630,10,0.49,<empty>,27685.87572
Case 631,10,0.5,<empty>,27685.87572
Case 632,10,0.51,<empty>,27685.87572
Case 633,10,0.52,<empty>,27685.87572
Case 634,10,0.53,<empty>,27685.87572
Case 635,10,0.54,<empty>,27685.87572
Case 636,10,0.55,<empty>,27685.87572
Case 637,10,0.56,<empty>,27685.87572
Case 638,10,0.57,<empty>,27685.87572
Case 639,10,0.58,<empty>,27685.87572
Case 640,10,0.59,<empty>,27685.87572
Case 641,10,0.6,<empty>,27685.87572
Case 642,10,0.61,<empty>,27685.87572
Case 643,10,0.62,<empty>,27685.87572
Case 644,10,0.63,<empty>,27685.87572
Case 645,10,0.64,<empty>,27685.87572
Case 646,10,0.65,<empty>,27685.87572
Case 647,10,0.66,<empty>,27685.87572
Case 648,10,0.67,<empty>,27685.87572
Case 649,10,0.68,<empty>,27685.87572
Case 650,10,0.69,<empty>,27685.87572
Case 651,10,0.7,<empty>,27685.87572
