case,temp,tray spacing,dist flow,cond liq flow
Case 133,18,0.48,46.98664912,53.53163907
Case 134,18,0.49,46.98655119,53.53653289
Case 135,18,0.5,46.98662486,53.53288869
Case 136,18,0.51,46.98656855,53.53569637
Case 137,18,0.52,46.98661125,53.53358113
Case 138,18,0.53,46.98660039,53.53356877
Case 139,18,0.54,46.98659816,53.53356622
Case 140,18,0.55,46.986599,53.53356718
Case 141,18,0.56,46.98659888,53.53356705
Case 142,18,0.57,46.98659889,53.53356705
Case 143,18,0.58,46.98659889,53.53356706
Case 144,18,0.59,46.98659889,53.53356706
Case 145,18,0.6,46.98659889,53.53356706
Case 146,18,0.61,46.98659889,53.53356706
Case 147,18,0.62,46.98659889,53.53356706
Case 148,18,0.63,46.98659889,53.53356706
Case 149,18,0.64,46.98659889,53.53356706
Case 150,18,0.65,46.98659889,53.53356706
Case 151,18,0.66,46.98659889,53.53356706
Case 152,18,0.67,46.98659889,53.53356706
Case 153,18,0.68,46.98659889,53.53356706
Case 154,18,0.69,46.98659889,53.53356706
Case 155,18,0.7,46.98659889,53.53356706
Case 156,17.5,0.4,48.10643546,64.05169485
Case 157,17.5,0.41,48.10481154,64.19802806
Case 158,17.5,0.42,48.10543102,64.18053368
Case 159,17.5,0.43,48.10467825,64.23644589
Case 160,17.5,0.44,48.10511973,64.21459223
Case 161,17.5,0.45,48.10472517,64.24085055
Case 162,17.5,0.46,48.10499392,64.22564925
Case 163,17.5,0.47,48.10477675,64.23937213
Case 164,17.5,0.48,48.10493367,64.23007325
Case 165,17.5,0.49,48.10481162,64.23762296
Case 166,17.5,0.5,48.10490242,64.23216476
Case 167,17.5,0.51,48.10483327,64.23641181
Case 168,17.5,0.52,48.10485482,64.23644058
Case 169,17.5,0.53,48.10485729,64.23644388
Case 170,17.5,0.54,48.10485592,64.23644205
Case 171,17.5,0.55,48.10485619,64.23644241
Case 172,17.5,0.56,48.10485616,64.23644237
Case 173,17.5,0.57,48.10485616,64.23644237
Case 174,17.5,0.58,48.10485616,64.23644237
Case 175,17.5,0.59,48.10485616,64.23644237
Case 176,17.5,0.6,48.10485616,64.23644237
Case 177,17.5,0.61,48.10485616,64.23644237
Case 178,17.5,0.62,48.10485616,64.23644237
Case 179,17.5,0.63,48.10485616,64.23644237
Case 180,17.5,0.64,48.10485616,64.23644237
Case 181,17.5,0.65,48.10485616,64.23644237
Case 182,17.5,0.66,48.10485616,64.23644237
Case 183,17.5,0.67,48.10485616,64.23644237
Case 184,17.5,0.68,48.10485616,64.23644237
Case 185,17.5,0.69,48.10485616,64.23644237
Case 186,17.5,0.7,48.10485616,64.23644237
Case 187,17,0.4,49.15464622,79.78057536
Case 188,17,0.41,49.15329111,79.93496742
Case 189,17,0.42,49.15380292,79.92153346
Case 190,17,0.43,49.15320358,79.9798718
Case 191,17,0.44,49.15353296,79.96205157
Case 192,17,0.45,49.15323727,79.9875502
Case 193,17,0.46,49.1534239,79.97539236
Case 194,17,0.47,49.15327292,79.98748632
Case 195,17,0.48,49.15337502,79.98034975
Case 196,17,0.49,49.1532971,79.98640047
Case 197,17,0.5,49.15335177,79.98242746
Case 198,17,0.51,49.15331099,79.98555383
Case 199,17,0.52,49.15332615,79.98557851
Case 200,17,0.53,49.15332642,79.98557893
Case 201,17,0.54,49.1533257,79.98557776
Case 202,17,0.55,49.15332591,79.9855781
Case 203,17,0.56,49.15332586,79.98557803
Case 204,17,0.57,49.15332587,79.98557805
Case 205,17,0.58,49.15332587,79.98557804
Case 206,17,0.59,49.15332587,79.98557804
Case 207,17,0.6,49.15332587,79.98557804
Case 208,17,0.61,49.15332587,79.98557804
Case 209,17,0.62,49.15332587,79.98557804
Case 210,17,0.63,49.15332587,79.98557804
Case 211,17,0.64,49.15332587,79.98557804
Case 212,17,0.65,49.15332587,79.98557804
Case 213,17,0.66,49.15332587,79.98557804
Case 214,17,0.67,49.15332587,79.98557804
Case 215,17,0.68,49.15332587,79.98557804
Case 216,17,0.69,49.15332587,79.98557804
Case 217,17,0.7,49.15332587,79.98557804
Case 218,16.5,0.4,50.13950355,105.3109721
Case 219,16.5,0.41,50.13764105,105.6031488
Case 220,16.5,0.42,50.1382939,105.5853005
Case 221,16.5,0.43,50.13746865,105.7089045
Case 222,16.5,0.44,50.13790827,105.6779639
Case 223,16.5,0.45,50.13747687,105.7352421
Case 224,16.5,0.46,50.13774228,105.7116421
Case 225,16.5,0.47,50.13751309,105.7398577
Case 226,16.5,0.48,50.13766654,105.7247553
Case 227,16.5,0.49,50.13754279,105.7392892
Case 228,16.5,0.5,50.13762958,105.7302805
Case 229,16.5,0.51,50.13756166,105.738026
Case 230,16.5,0.52,50.1376103,105.7328645
Case 231,16.5,0.53,50.13758992,105.7328215
Case 232,16.5,0.54,50.13759067,105.7328231
Case 233,16.5,0.55,50.13759132,105.7328244
Case 234,16.5,0.56,50.13759104,105.7328239
Case 235,16.5,0.57,50.13759112,105.732824
Case 236,16.5,0.58,50.1375911,105.732824
Case 237,16.5,0.59,50.1375911,105.732824
Case 238,16.5,0.6,50.1375911,105.732824
Case 239,16.5,0.61,50.1375911,105.732824
